occupation,industry,year,employment
"All Occupation Groups, (Total Employed Residents)",Construction,2022,97.7
"All Occupation Groups, (Total Employed Residents)",Services,2022,2006
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2022,351.8
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2022,207.4
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2022,126.6
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2022,132.8
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2022,235.8
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2022,59.7
"All Occupation Groups, (Total Employed Residents)",Professional Services,2022,197.6
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2022,120.3
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2022,309.6
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2022,160.3
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2022,34.5
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2022,69.8
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2022,21.9
Managers & Administrators (Including Working Proprietors),All Industries,2022,407.7
Managers & Administrators (Including Working Proprietors),Manufacturing,2022,44
Managers & Administrators (Including Working Proprietors),Construction,2022,23.6
Managers & Administrators (Including Working Proprietors),Services,2022,337.2
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2022,92.1
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2022,18.3
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2022,9.8
Managers & Administrators (Including Working Proprietors),Information & Communications,2022,33.8
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2022,57.8
Managers & Administrators (Including Working Proprietors),Real Estate Services,2022,7.5
Managers & Administrators (Including Working Proprietors),Professional Services,2022,42.5
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2022,12.9
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2022,37.1
Managers & Administrators (Including Working Proprietors),Health & Social Services,2022,11.5
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2022,4.7
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2022,9.3
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2022,2.9
Professionals,All Industries,2022,600.9
Professionals,Manufacturing,2022,59.7
Professionals,Construction,2022,16.9
Professionals,Services,2022,517.6
Professionals,Wholesale & Retail Trade,2022,57.1
Professionals,Transportation & Storage,2022,18.2
Professionals,Accommodation & Food Services,2022,2.9
Professionals,Information & Communications,2022,59.3
Professionals,Financial & Insurance Services,2022,91.8
Professionals,Real Estate Services,2022,6.8
Professionals,Professional Services,2022,80.3
Professionals,Administrative & Support Services,2022,11.8
Professionals,Public Administration & Education Services,2022,110.9
Professionals,Health & Social Services,2022,64.4
