occupation,industry,year,employment
Professionals,Construction,2005,6.3
Professionals,Services,2005,207.6
Professionals,Wholesale & Retail Trade,2005,25.9
Professionals,Transportation & Storage,2005,9.4
Professionals,Accommodation & Food Services,2005,1.8
Professionals,Information & Communications,2005,29.1
Professionals,Financial & Insurance Services,2005,33.9
Professionals,Real Estate Services,2005,2
Professionals,Professional Services,2005,33.7
Professionals,Administrative & Support Services,2005,2.4
Professionals,Public Administration & Education Services,2005,48.6
Professionals,Health & Social Services,2005,17.2
Professionals,"Arts, Entertainment & Recreation",2005,1.3
Professionals,"Other Community, Social & Personal Services",2005,2.3
Professionals,Other Industries Nes,2005,2.1
Associate Professionals & Technicians,All Industries,2005,255.6
Associate Professionals & Technicians,Manufacturing,2005,51.2
Associate Professionals & Technicians,Construction,2005,9.2
Associate Professionals & Technicians,Services,2005,191.9
Associate Professionals & Technicians,Wholesale & Retail Trade,2005,31.1
Associate Professionals & Technicians,Transportation & Storage,2005,13.9
Associate Professionals & Technicians,Accommodation & Food Services,2005,4.7
Associate Professionals & Technicians,Information & Communications,2005,10.1
Associate Professionals & Technicians,Financial & Insurance Services,2005,22.1
Associate Professionals & Technicians,Real Estate Services,2005,16.3
Associate Professionals & Technicians,Professional Services,2005,20.9
Associate Professionals & Technicians,Administrative & Support Services,2005,6.8
Associate Professionals & Technicians,Public Administration & Education Services,2005,37.1
Associate Professionals & Technicians,Health & Social Services,2005,18.6
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2005,4.1
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2005,6.2
Associate Professionals & Technicians,Other Industries Nes,2005,3.3
Clerical Support Workers,All Industries,2005,220.8
Clerical Support Workers,Manufacturing,2005,29.3
Clerical Support Workers,Construction,2005,7.9
Clerical Support Workers,Services,2005,181.9
Clerical Support Workers,Wholesale & Retail Trade,2005,44.6
Clerical Support Workers,Transportation & Storage,2005,29.4
Clerical Support Workers,Accommodation & Food Services,2005,5.3
Clerical Support Workers,Information & Communications,2005,7.5
Clerical Support Workers,Financial & Insurance Services,2005,25.7
Clerical Support Workers,Real Estate Services,2005,5.6
Clerical Support Workers,Professional Services,2005,16.1
Clerical Support Workers,Administrative & Support Services,2005,9.4
Clerical Support Workers,Public Administration & Education Services,2005,17.8
Clerical Support Workers,Health & Social Services,2005,11.9
Clerical Support Workers,"Arts, Entertainment & Recreation",2005,3.2
Clerical Support Workers,"Other Community, Social & Personal Services",2005,5.4
Clerical Support Workers,Other Industries Nes,2005,1.6
Service & Sales Workers,All Industries,2005,244.4
Service & Sales Workers,Manufacturing,2005,6.2
Service & Sales Workers,Construction,2005,0.7
Service & Sales Workers,Services,2005,236.8
Service & Sales Workers,Wholesale & Retail Trade,2005,86.7
Service & Sales Workers,Transportation & Storage,2005,11.6
Service & Sales Workers,Accommodation & Food Services,2005,67.7
Service & Sales Workers,Information & Communications,2005,1.2
Service & Sales Workers,Financial & Insurance Services,2005,1.6
Service & Sales Workers,Real Estate Services,2005,2.4
Service & Sales Workers,Professional Services,2005,1.5
Service & Sales Workers,Administrative & Support Services,2005,20.8
Service & Sales Workers,Public Administration & Education Services,2005,19.5
Service & Sales Workers,Health & Social Services,2005,3.7
Service & Sales Workers,"Arts, Entertainment & Recreation",2005,5
Service & Sales Workers,"Other Community, Social & Personal Services",2005,15.1
Service & Sales Workers,Other Industries Nes,2005,0.7
Craftsmen & Related Trades Workers,All Industries,2005,111
Craftsmen & Related Trades Workers,Manufacturing,2005,39.7
Craftsmen & Related Trades Workers,Construction,2005,31.4
Craftsmen & Related Trades Workers,Services,2005,37.8
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2005,10.5
Craftsmen & Related Trades Workers,Transportation & Storage,2005,4.8
Craftsmen & Related Trades Workers,Accommodation & Food Services,2005,1.6
Craftsmen & Related Trades Workers,Information & Communications,2005,2
Craftsmen & Related Trades Workers,Financial & Insurance Services,2005,0.2
Craftsmen & Related Trades Workers,Real Estate Services,2005,2.6
Craftsmen & Related Trades Workers,Professional Services,2005,2.8
Craftsmen & Related Trades Workers,Administrative & Support Services,2005,1.3
Craftsmen & Related Trades Workers,Public Administration & Education Services,2005,1.2
Craftsmen & Related Trades Workers,Health & Social Services,2005,0.4
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2005,0.7
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2005,9.7
Craftsmen & Related Trades Workers,Other Industries Nes,2005,2.1
Plant & Machine Operators & Assemblers,All Industries,2005,169.7
Plant & Machine Operators & Assemblers,Manufacturing,2005,59.8
Plant & Machine Operators & Assemblers,Construction,2005,5
Plant & Machine Operators & Assemblers,Services,2005,102.1
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2005,19.2
Plant & Machine Operators & Assemblers,Transportation & Storage,2005,69.3
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2005,1.7
Plant & Machine Operators & Assemblers,Information & Communications,2005,0.8
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2005,0.4
Plant & Machine Operators & Assemblers,Real Estate Services,2005,0.3
Plant & Machine Operators & Assemblers,Professional Services,2005,2.5
Plant & Machine Operators & Assemblers,Administrative & Support Services,2005,3.2
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2005,0.5
Plant & Machine Operators & Assemblers,Health & Social Services,2005,0.7
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2005,0.2
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2005,3.1
Plant & Machine Operators & Assemblers,Other Industries Nes,2005,2.8
"Cleaners, Labourers & Related Workers",All Industries,2005,99.2
"Cleaners, Labourers & Related Workers",Manufacturing,2005,9
"Cleaners, Labourers & Related Workers",Construction,2005,5.4
"Cleaners, Labourers & Related Workers",Services,2005,81.9
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2005,8.9
"Cleaners, Labourers & Related Workers",Transportation & Storage,2005,11.6
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2005,13.9
"Cleaners, Labourers & Related Workers",Information & Communications,2005,0.4
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2005,0.5
"Cleaners, Labourers & Related Workers",Real Estate Services,2005,1.3
"Cleaners, Labourers & Related Workers",Professional Services,2005,1.4
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2005,23.1
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2005,5.9
"Cleaners, Labourers & Related Workers",Health & Social Services,2005,4.3
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2005,2.4
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2005,8.2
"Cleaners, Labourers & Related Workers",Other Industries Nes,2005,2.9
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2005,55.9
"Cleaners, Labourers & Related Workers",Manufacturing,2005,0.1
"Cleaners, Labourers & Related Workers",Construction,2005,0
"Cleaners, Labourers & Related Workers",Services,2005,53.4
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2005,0.2
"Cleaners, Labourers & Related Workers",Transportation & Storage,2005,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2005,0
"Cleaners, Labourers & Related Workers",Information & Communications,2005,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2005,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2005,0
"Cleaners, Labourers & Related Workers",Professional Services,2005,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2005,0
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2005,53
"Cleaners, Labourers & Related Workers",Health & Social Services,2005,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2005,0.1
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2005,0.1
"Cleaners, Labourers & Related Workers",Other Industries Nes,2005,2.4
"All Occupation Groups, (Total Employed Residents)",All Industries,2004,1632.1
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2004,296.6
"All Occupation Groups, (Total Employed Residents)",Construction,2004,92.6
"All Occupation Groups, (Total Employed Residents)",Services,2004,1221.7
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2004,275.4
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2004,164.2
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2004,107.9
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2004,67.5
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2004,91.9
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2004,34.7
"All Occupation Groups, (Total Employed Residents)",Professional Services,2004,71.3
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2004,68.8
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2004,212.2
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2004,61.7
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2004,14.1
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2004,52
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2004,21.2
Managers & Administrators (Including Working Proprietors),All Industries,2004,242
Managers & Administrators (Including Working Proprietors),Manufacturing,2004,44.9
Managers & Administrators (Including Working Proprietors),Construction,2004,21.6
Managers & Administrators (Including Working Proprietors),Services,2004,173.1
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2004,74.5
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2004,14.5
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2004,8.6
Managers & Administrators (Including Working Proprietors),Information & Communications,2004,17
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2004,14.8
Managers & Administrators (Including Working Proprietors),Real Estate Services,2004,5.1
Managers & Administrators (Including Working Proprietors),Professional Services,2004,12.8
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2004,9
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2004,6.7
Managers & Administrators (Including Working Proprietors),Health & Social Services,2004,2.7
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2004,0.8
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2004,6.8
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2004,2.5
Professionals,All Industries,2004,250
Professionals,Manufacturing,2004,47.5
Professionals,Construction,2004,8.1
Professionals,Services,2004,192.2
Professionals,Wholesale & Retail Trade,2004,19.5
Professionals,Transportation & Storage,2004,8.7
Professionals,Accommodation & Food Services,2004,1
Professionals,Information & Communications,2004,25.4
Professionals,Financial & Insurance Services,2004,24.5
Professionals,Real Estate Services,2004,2.6
Professionals,Professional Services,2004,28.2
Professionals,Administrative & Support Services,2004,4.9
Professionals,Public Administration & Education Services,2004,48.9
Professionals,Health & Social Services,2004,24.6
Professionals,"Arts, Entertainment & Recreation",2004,1.4
Professionals,"Other Community, Social & Personal Services",2004,2.7
Professionals,Other Industries Nes,2004,2.2
Associate Professionals & Technicians,All Industries,2004,259.8
Associate Professionals & Technicians,Manufacturing,2004,54.7
Associate Professionals & Technicians,Construction,2004,7.8
Associate Professionals & Technicians,Services,2004,191.3
Associate Professionals & Technicians,Wholesale & Retail Trade,2004,25.5
Associate Professionals & Technicians,Transportation & Storage,2004,18.7
Associate Professionals & Technicians,Accommodation & Food Services,2004,2.8
Associate Professionals & Technicians,Information & Communications,2004,11.7
Associate Professionals & Technicians,Financial & Insurance Services,2004,27.4
Associate Professionals & Technicians,Real Estate Services,2004,14.9
Associate Professionals & Technicians,Professional Services,2004,12.5
Associate Professionals & Technicians,Administrative & Support Services,2004,8.4
Associate Professionals & Technicians,Public Administration & Education Services,2004,48.8
Associate Professionals & Technicians,Health & Social Services,2004,12.9
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2004,3
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2004,4.7
Associate Professionals & Technicians,Other Industries Nes,2004,6
Clerical Support Workers,All Industries,2004,220.4
Clerical Support Workers,Manufacturing,2004,32.5
Clerical Support Workers,Construction,2004,9.5
Clerical Support Workers,Services,2004,176.6
Clerical Support Workers,Wholesale & Retail Trade,2004,38.1
Clerical Support Workers,Transportation & Storage,2004,32.3
Clerical Support Workers,Accommodation & Food Services,2004,5.3
Clerical Support Workers,Information & Communications,2004,9.4
Clerical Support Workers,Financial & Insurance Services,2004,23.3
Clerical Support Workers,Real Estate Services,2004,6.2
Clerical Support Workers,Professional Services,2004,14.8
Clerical Support Workers,Administrative & Support Services,2004,6.7
Clerical Support Workers,Public Administration & Education Services,2004,19.5
Clerical Support Workers,Health & Social Services,2004,12.3
Clerical Support Workers,"Arts, Entertainment & Recreation",2004,2.9
Clerical Support Workers,"Other Community, Social & Personal Services",2004,5.9
Clerical Support Workers,Other Industries Nes,2004,1.8
Service & Sales Workers,All Industries,2004,203.5
Service & Sales Workers,Manufacturing,2004,4.3
Service & Sales Workers,Construction,2004,0.5
Service & Sales Workers,Services,2004,198.4
Service & Sales Workers,Wholesale & Retail Trade,2004,88.5
Service & Sales Workers,Transportation & Storage,2004,10.4
Service & Sales Workers,Accommodation & Food Services,2004,45
Service & Sales Workers,Information & Communications,2004,1.8
Service & Sales Workers,Financial & Insurance Services,2004,0.6
Service & Sales Workers,Real Estate Services,2004,1.6
Service & Sales Workers,Professional Services,2004,0.6
Service & Sales Workers,Administrative & Support Services,2004,14.1
Service & Sales Workers,Public Administration & Education Services,2004,12.8
Service & Sales Workers,Health & Social Services,2004,3.8
Service & Sales Workers,"Arts, Entertainment & Recreation",2004,3.2
Service & Sales Workers,"Other Community, Social & Personal Services",2004,16
Service & Sales Workers,Other Industries Nes,2004,0.4
Craftsmen & Related Trades Workers,All Industries,2004,97.2
Craftsmen & Related Trades Workers,Manufacturing,2004,37.2
Craftsmen & Related Trades Workers,Construction,2004,32.3
Craftsmen & Related Trades Workers,Services,2004,26.1
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2004,6.3
Craftsmen & Related Trades Workers,Transportation & Storage,2004,2.3
Craftsmen & Related Trades Workers,Accommodation & Food Services,2004,1.5
Craftsmen & Related Trades Workers,Information & Communications,2004,1
Craftsmen & Related Trades Workers,Financial & Insurance Services,2004,0
Craftsmen & Related Trades Workers,Real Estate Services,2004,1.7
Craftsmen & Related Trades Workers,Professional Services,2004,1.1
Craftsmen & Related Trades Workers,Administrative & Support Services,2004,1.8
Craftsmen & Related Trades Workers,Public Administration & Education Services,2004,0.6
Craftsmen & Related Trades Workers,Health & Social Services,2004,0.2
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2004,0.5
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2004,9.2
Craftsmen & Related Trades Workers,Other Industries Nes,2004,1.6
Plant & Machine Operators & Assemblers,All Industries,2004,164.2
Plant & Machine Operators & Assemblers,Manufacturing,2004,65.4
Plant & Machine Operators & Assemblers,Construction,2004,5.6
Plant & Machine Operators & Assemblers,Services,2004,90.8
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2004,14.5
Plant & Machine Operators & Assemblers,Transportation & Storage,2004,66.2
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2004,2.1
Plant & Machine Operators & Assemblers,Information & Communications,2004,0.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2004,0.5
Plant & Machine Operators & Assemblers,Real Estate Services,2004,0.2
Plant & Machine Operators & Assemblers,Professional Services,2004,0.7
Plant & Machine Operators & Assemblers,Administrative & Support Services,2004,1.9
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2004,0.4
Plant & Machine Operators & Assemblers,Health & Social Services,2004,0.8
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2004,0.3
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2004,2.6
Plant & Machine Operators & Assemblers,Other Industries Nes,2004,2.4
"Cleaners, Labourers & Related Workers",All Industries,2004,123.9
"Cleaners, Labourers & Related Workers",Manufacturing,2004,10.2
"Cleaners, Labourers & Related Workers",Construction,2004,7.3
"Cleaners, Labourers & Related Workers",Services,2004,103.1
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2004,8.5
"Cleaners, Labourers & Related Workers",Transportation & Storage,2004,11.3
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2004,41.6
"Cleaners, Labourers & Related Workers",Information & Communications,2004,0.8
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2004,0.6
"Cleaners, Labourers & Related Workers",Real Estate Services,2004,2.4
"Cleaners, Labourers & Related Workers",Professional Services,2004,0.7
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2004,22
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2004,4.6
"Cleaners, Labourers & Related Workers",Health & Social Services,2004,4.5
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2004,1.9
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2004,4
"Cleaners, Labourers & Related Workers",Other Industries Nes,2004,3.3
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2004,71.1
"Cleaners, Labourers & Related Workers",Manufacturing,2004,0
"Cleaners, Labourers & Related Workers",Construction,2004,0
"Cleaners, Labourers & Related Workers",Services,2004,70.2
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2004,0
"Cleaners, Labourers & Related Workers",Transportation & Storage,2004,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2004,0
"Cleaners, Labourers & Related Workers",Information & Communications,2004,0
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2004,0
"Cleaners, Labourers & Related Workers",Real Estate Services,2004,0
"Cleaners, Labourers & Related Workers",Professional Services,2004,0
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2004,0
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2004,69.9
"Cleaners, Labourers & Related Workers",Health & Social Services,2004,0
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2004,0
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2004,0.1
"Cleaners, Labourers & Related Workers",Other Industries Nes,2004,1
"All Occupation Groups, (Total Employed Residents)",All Industries,2003,1605.4
"All Occupation Groups, (Total Employed Residents)",Manufacturing,2003,302.5
"All Occupation Groups, (Total Employed Residents)",Construction,2003,97.7
"All Occupation Groups, (Total Employed Residents)",Services,2003,1184.9
"All Occupation Groups, (Total Employed Residents)",Wholesale & Retail Trade,2003,253.7
"All Occupation Groups, (Total Employed Residents)",Transportation & Storage,2003,163.5
"All Occupation Groups, (Total Employed Residents)",Accommodation & Food Services,2003,107.8
"All Occupation Groups, (Total Employed Residents)",Information & Communications,2003,68.2
"All Occupation Groups, (Total Employed Residents)",Financial & Insurance Services,2003,88.6
"All Occupation Groups, (Total Employed Residents)",Real Estate Services,2003,34.5
"All Occupation Groups, (Total Employed Residents)",Professional Services,2003,65.9
"All Occupation Groups, (Total Employed Residents)",Administrative & Support Services,2003,64.9
"All Occupation Groups, (Total Employed Residents)",Public Administration & Education Services,2003,216.4
"All Occupation Groups, (Total Employed Residents)",Health & Social Services,2003,55.6
"All Occupation Groups, (Total Employed Residents)","Arts, Entertainment & Recreation",2003,14.4
"All Occupation Groups, (Total Employed Residents)","Other Community, Social & Personal Services",2003,51.4
"All Occupation Groups, (Total Employed Residents)",Other Industries Nes,2003,20.3
Managers & Administrators (Including Working Proprietors),All Industries,2003,243.2
Managers & Administrators (Including Working Proprietors),Manufacturing,2003,45.6
Managers & Administrators (Including Working Proprietors),Construction,2003,23.7
Managers & Administrators (Including Working Proprietors),Services,2003,171.7
Managers & Administrators (Including Working Proprietors),Wholesale & Retail Trade,2003,69.1
Managers & Administrators (Including Working Proprietors),Transportation & Storage,2003,16.6
Managers & Administrators (Including Working Proprietors),Accommodation & Food Services,2003,8.7
Managers & Administrators (Including Working Proprietors),Information & Communications,2003,17.1
Managers & Administrators (Including Working Proprietors),Financial & Insurance Services,2003,14.7
Managers & Administrators (Including Working Proprietors),Real Estate Services,2003,4.7
Managers & Administrators (Including Working Proprietors),Professional Services,2003,12.5
Managers & Administrators (Including Working Proprietors),Administrative & Support Services,2003,9.1
Managers & Administrators (Including Working Proprietors),Public Administration & Education Services,2003,8.6
Managers & Administrators (Including Working Proprietors),Health & Social Services,2003,2.3
Managers & Administrators (Including Working Proprietors),"Arts, Entertainment & Recreation",2003,1.5
Managers & Administrators (Including Working Proprietors),"Other Community, Social & Personal Services",2003,6.7
Managers & Administrators (Including Working Proprietors),Other Industries Nes,2003,2.2
Professionals,All Industries,2003,247.1
Professionals,Manufacturing,2003,48.7
Professionals,Construction,2003,8.7
Professionals,Services,2003,187.4
Professionals,Wholesale & Retail Trade,2003,16.9
Professionals,Transportation & Storage,2003,7.7
Professionals,Accommodation & Food Services,2003,0.8
Professionals,Information & Communications,2003,27.3
Professionals,Financial & Insurance Services,2003,22.6
Professionals,Real Estate Services,2003,2.2
Professionals,Professional Services,2003,25.9
Professionals,Administrative & Support Services,2003,5.4
Professionals,Public Administration & Education Services,2003,52
Professionals,Health & Social Services,2003,22.1
Professionals,"Arts, Entertainment & Recreation",2003,1.1
Professionals,"Other Community, Social & Personal Services",2003,3.5
Professionals,Other Industries Nes,2003,2.3
Associate Professionals & Technicians,All Industries,2003,240.8
Associate Professionals & Technicians,Manufacturing,2003,50.1
Associate Professionals & Technicians,Construction,2003,8.4
Associate Professionals & Technicians,Services,2003,177
Associate Professionals & Technicians,Wholesale & Retail Trade,2003,21.1
Associate Professionals & Technicians,Transportation & Storage,2003,18.3
Associate Professionals & Technicians,Accommodation & Food Services,2003,3
Associate Professionals & Technicians,Information & Communications,2003,11.2
Associate Professionals & Technicians,Financial & Insurance Services,2003,25.3
Associate Professionals & Technicians,Real Estate Services,2003,16.1
Associate Professionals & Technicians,Professional Services,2003,10.4
Associate Professionals & Technicians,Administrative & Support Services,2003,6.8
Associate Professionals & Technicians,Public Administration & Education Services,2003,47.2
Associate Professionals & Technicians,Health & Social Services,2003,11
Associate Professionals & Technicians,"Arts, Entertainment & Recreation",2003,2.8
Associate Professionals & Technicians,"Other Community, Social & Personal Services",2003,3.8
Associate Professionals & Technicians,Other Industries Nes,2003,5.3
Clerical Support Workers,All Industries,2003,219.1
Clerical Support Workers,Manufacturing,2003,34.4
Clerical Support Workers,Construction,2003,10.5
Clerical Support Workers,Services,2003,171.4
Clerical Support Workers,Wholesale & Retail Trade,2003,36.3
Clerical Support Workers,Transportation & Storage,2003,31.2
Clerical Support Workers,Accommodation & Food Services,2003,4.2
Clerical Support Workers,Information & Communications,2003,8.6
Clerical Support Workers,Financial & Insurance Services,2003,23.8
Clerical Support Workers,Real Estate Services,2003,6.5
Clerical Support Workers,Professional Services,2003,15.1
Clerical Support Workers,Administrative & Support Services,2003,5.5
Clerical Support Workers,Public Administration & Education Services,2003,19.9
Clerical Support Workers,Health & Social Services,2003,12.1
Clerical Support Workers,"Arts, Entertainment & Recreation",2003,2.7
Clerical Support Workers,"Other Community, Social & Personal Services",2003,5.7
Clerical Support Workers,Other Industries Nes,2003,2.8
Service & Sales Workers,All Industries,2003,196.8
Service & Sales Workers,Manufacturing,2003,2.9
Service & Sales Workers,Construction,2003,0.5
Service & Sales Workers,Services,2003,193.1
Service & Sales Workers,Wholesale & Retail Trade,2003,85.5
Service & Sales Workers,Transportation & Storage,2003,10.4
Service & Sales Workers,Accommodation & Food Services,2003,45.4
Service & Sales Workers,Information & Communications,2003,1.6
Service & Sales Workers,Financial & Insurance Services,2003,1
Service & Sales Workers,Real Estate Services,2003,1.1
Service & Sales Workers,Professional Services,2003,0.3
Service & Sales Workers,Administrative & Support Services,2003,13.7
Service & Sales Workers,Public Administration & Education Services,2003,13.6
Service & Sales Workers,Health & Social Services,2003,3
Service & Sales Workers,"Arts, Entertainment & Recreation",2003,3.8
Service & Sales Workers,"Other Community, Social & Personal Services",2003,13.7
Service & Sales Workers,Other Industries Nes,2003,0.3
Craftsmen & Related Trades Workers,All Industries,2003,98
Craftsmen & Related Trades Workers,Manufacturing,2003,40.9
Craftsmen & Related Trades Workers,Construction,2003,30.1
Craftsmen & Related Trades Workers,Services,2003,25.6
Craftsmen & Related Trades Workers,Wholesale & Retail Trade,2003,4.5
Craftsmen & Related Trades Workers,Transportation & Storage,2003,3.4
Craftsmen & Related Trades Workers,Accommodation & Food Services,2003,0.8
Craftsmen & Related Trades Workers,Information & Communications,2003,1.3
Craftsmen & Related Trades Workers,Financial & Insurance Services,2003,0.1
Craftsmen & Related Trades Workers,Real Estate Services,2003,1.2
Craftsmen & Related Trades Workers,Professional Services,2003,0.7
Craftsmen & Related Trades Workers,Administrative & Support Services,2003,1.8
Craftsmen & Related Trades Workers,Public Administration & Education Services,2003,0.6
Craftsmen & Related Trades Workers,Health & Social Services,2003,0.4
Craftsmen & Related Trades Workers,"Arts, Entertainment & Recreation",2003,0.2
Craftsmen & Related Trades Workers,"Other Community, Social & Personal Services",2003,10.6
Craftsmen & Related Trades Workers,Other Industries Nes,2003,1.5
Plant & Machine Operators & Assemblers,All Industries,2003,166.7
Plant & Machine Operators & Assemblers,Manufacturing,2003,70.9
Plant & Machine Operators & Assemblers,Construction,2003,5.7
Plant & Machine Operators & Assemblers,Services,2003,87.9
Plant & Machine Operators & Assemblers,Wholesale & Retail Trade,2003,12.8
Plant & Machine Operators & Assemblers,Transportation & Storage,2003,65.6
Plant & Machine Operators & Assemblers,Accommodation & Food Services,2003,1.4
Plant & Machine Operators & Assemblers,Information & Communications,2003,0.6
Plant & Machine Operators & Assemblers,Financial & Insurance Services,2003,0.4
Plant & Machine Operators & Assemblers,Real Estate Services,2003,0.4
Plant & Machine Operators & Assemblers,Professional Services,2003,0.4
Plant & Machine Operators & Assemblers,Administrative & Support Services,2003,1.8
Plant & Machine Operators & Assemblers,Public Administration & Education Services,2003,0.6
Plant & Machine Operators & Assemblers,Health & Social Services,2003,0.6
Plant & Machine Operators & Assemblers,"Arts, Entertainment & Recreation",2003,0.2
Plant & Machine Operators & Assemblers,"Other Community, Social & Personal Services",2003,3
Plant & Machine Operators & Assemblers,Other Industries Nes,2003,2.2
"Cleaners, Labourers & Related Workers",All Industries,2003,123.8
"Cleaners, Labourers & Related Workers",Manufacturing,2003,9
"Cleaners, Labourers & Related Workers",Construction,2003,10.1
"Cleaners, Labourers & Related Workers",Services,2003,102
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2003,7.4
"Cleaners, Labourers & Related Workers",Transportation & Storage,2003,10.2
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2003,43.4
"Cleaners, Labourers & Related Workers",Information & Communications,2003,0.5
"Cleaners, Labourers & Related Workers",Financial & Insurance Services,2003,0.7
"Cleaners, Labourers & Related Workers",Real Estate Services,2003,2.4
"Cleaners, Labourers & Related Workers",Professional Services,2003,0.6
"Cleaners, Labourers & Related Workers",Administrative & Support Services,2003,20.8
"Cleaners, Labourers & Related Workers",Public Administration & Education Services,2003,5.6
"Cleaners, Labourers & Related Workers",Health & Social Services,2003,4
"Cleaners, Labourers & Related Workers","Arts, Entertainment & Recreation",2003,2
"Cleaners, Labourers & Related Workers","Other Community, Social & Personal Services",2003,4.3
"Cleaners, Labourers & Related Workers",Other Industries Nes,2003,2.7
"Cleaners, Labourers & Related Workers",Other Occupation Groups Nes,2003,69.8
"Cleaners, Labourers & Related Workers",Manufacturing,2003,0
"Cleaners, Labourers & Related Workers",Construction,2003,0
"Cleaners, Labourers & Related Workers",Services,2003,68.7
"Cleaners, Labourers & Related Workers",Wholesale & Retail Trade,2003,0.1
"Cleaners, Labourers & Related Workers",Transportation & Storage,2003,0
"Cleaners, Labourers & Related Workers",Accommodation & Food Services,2003,0
"Cleaners, Labourers & Related Workers",Information & Communications,2003,0
